Workload,BASE_,PRAC_ONLY_DELAY,MOPAC_nrh125,MOPAC_nrh250,MOPAC_nrh500,MOPAC_nrh1000,MOPAC_nrh2000,MOPAC_nrh4000
GMEAN,1.000,1.103,1.184,1.038,1.009,1.002,1.001,1.000
cam4,1.000,1.084,1.032,1.008,1.008,1.001,1.000,1.000
mix1,1.000,1.176,1.275,1.058,1.010,1.002,1.002,1.000
mcf,1.000,1.031,1.171,1.028,1.008,1.003,1.001,1.002
add,1.000,1.005,0.999,1.000,1.000,1.000,1.000,1.000
mix4,1.000,1.168,1.303,1.049,1.009,1.001,1.001,0.999
mix6,1.000,1.152,1.234,1.042,1.003,1.000,0.999,1.000
xalancbmk,1.000,1.130,1.069,1.002,1.001,1.000,1.000,1.000
scale,1.000,1.010,1.000,1.000,1.000,1.000,1.000,1.000
omnetpp,1.000,1.176,1.339,1.092,1.034,1.013,1.006,1.002
lbm,1.000,1.121,1.386,1.057,1.023,1.011,1.005,1.003
mix2,1.000,1.150,1.324,1.071,1.018,1.005,1.002,1.002
cactuBSSN,1.000,1.158,1.310,1.138,1.018,1.006,0.989,1.001
mix3,1.000,1.138,1.281,1.043,1.010,1.004,1.001,1.000
fotonik3d,1.000,1.178,1.397,1.074,1.024,1.009,1.005,1.001
masstree,1.000,1.072,1.141,1.008,1.001,1.000,1.000,1.000
bwaves,1.000,1.089,1.158,1.000,0.998,1.000,1.000,1.000
triad,1.000,1.008,1.000,1.000,1.000,1.000,1.000,1.000
blender,1.000,1.092,1.030,1.002,1.000,1.000,1.000,1.000
mix5,1.000,1.162,1.276,1.045,1.009,1.003,1.000,0.999
roms,1.000,1.093,1.091,1.000,0.987,0.983,1.000,1.000
xz,1.000,1.179,1.378,1.118,1.032,1.013,1.005,1.001
parest,1.000,1.042,1.222,1.053,1.006,1.000,1.000,1.000
copy,1.000,1.006,1.000,1.000,1.000,1.000,1.000,1.000
