Workload,BASE_,PRAC_ONLY_DELAY,MOPAC_nrh125,MOPAC_nrh250,MOPAC_nrh500,MOPAC_nrh1000,MOPAC_nrh2000,MOPAC_nrh4000
GMEAN,1.000,1.099,1.230,1.027,1.007,1.001,1.001,1.000
cam4,1.000,1.084,1.123,1.008,1.007,1.002,1.000,1.000
mix1,1.000,1.148,1.292,1.035,1.003,0.999,0.999,0.999
mcf,1.000,1.031,1.271,1.022,1.010,1.003,1.002,0.999
add,1.000,1.005,1.114,1.000,1.000,1.000,1.000,1.000
mix4,1.000,1.157,1.314,1.032,1.004,1.001,1.000,1.000
mix6,1.000,1.126,1.243,1.021,1.001,1.001,1.000,1.000
xalancbmk,1.000,1.130,1.128,1.002,1.001,1.000,1.000,1.000
scale,1.000,1.010,1.111,1.000,1.000,1.000,1.000,1.000
omnetpp,1.000,1.176,1.478,1.076,1.026,1.010,1.005,1.001
lbm,1.000,1.121,1.260,1.042,1.016,1.007,1.004,1.002
mix2,1.000,1.142,1.362,1.052,1.012,1.007,1.002,1.002
cactuBSSN,1.000,1.158,1.527,1.071,1.021,1.002,0.997,0.996
mix3,1.000,1.137,1.267,1.038,1.007,1.001,1.003,0.999
fotonik3d,1.000,1.178,1.216,1.027,1.017,1.010,1.004,1.001
masstree,1.000,1.072,1.216,1.015,1.001,1.000,1.000,1.000
bwaves,1.000,1.089,1.209,1.000,0.998,1.000,1.000,1.000
triad,1.000,1.008,1.116,1.000,1.000,1.000,1.000,1.000
blender,1.000,1.092,1.074,1.000,1.000,1.000,1.000,1.000
mix5,1.000,1.119,1.249,1.037,1.004,1.000,1.000,0.999
roms,1.000,1.094,1.134,0.990,1.001,0.980,1.000,1.000
xz,1.000,1.179,1.479,1.104,1.025,1.010,1.005,1.001
parest,1.000,1.042,1.130,1.064,1.006,1.000,1.000,1.000
copy,1.000,1.006,1.113,1.000,1.000,1.000,1.000,1.000
