Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_buf5,PRAC_MOPAC_buf8,PRAC_MOPAC_buf16,PRAC_MOPAC_buf32,PRAC_MOPAC_buf64
GMEAN,1.000,1.113,1.075,1.041,1.030,1.027,1.024
cam4,1.000,1.084,1.023,1.012,1.008,1.008,1.002
mcf,1.000,1.031,1.076,1.043,1.036,1.036,1.034
xalancbmk,1.000,1.130,1.039,1.017,1.009,1.005,1.003
omnetpp,1.000,1.176,1.111,1.070,1.057,1.052,1.048
lbm,1.000,1.121,1.104,1.056,1.046,1.040,1.037
cactuBSSN,1.000,1.158,1.102,1.066,1.049,1.022,1.019
fotonik3d,1.000,1.178,1.147,1.074,1.047,1.043,1.040
bwaves,1.000,1.089,1.088,1.035,1.024,1.022,1.022
blender,1.000,1.092,1.008,0.999,1.003,0.999,1.000
roms,1.000,1.094,1.056,1.037,1.010,1.027,1.013
xz,1.000,1.179,1.105,1.062,1.052,1.048,1.049
parest,1.000,1.042,1.053,1.028,1.022,1.021,1.020
