Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_buf5_ref0,PRAC_MOPAC_buf8_ref0,PRAC_MOPAC_buf16_ref0,PRAC_MOPAC_buf32_ref0,PRAC_MOPAC_buf64_ref0
GMEAN,1.000,1.113,1.106,1.067,1.058,1.053,1.052
cam4,1.000,1.084,1.047,1.025,1.028,1.025,1.024
mcf,1.000,1.031,1.102,1.070,1.064,1.064,1.061
xalancbmk,1.000,1.130,1.079,1.047,1.037,1.035,1.032
omnetpp,1.000,1.176,1.142,1.099,1.087,1.082,1.082
lbm,1.000,1.121,1.132,1.083,1.075,1.067,1.066
cactuBSSN,1.000,1.158,1.130,1.111,1.078,1.048,1.046
fotonik3d,1.000,1.178,1.180,1.102,1.081,1.076,1.075
bwaves,1.000,1.089,1.138,1.071,1.060,1.058,1.058
blender,1.000,1.092,1.031,1.020,1.019,1.019,1.018
roms,1.000,1.094,1.068,1.032,1.031,1.032,1.029
xz,1.000,1.179,1.136,1.091,1.081,1.079,1.078
parest,1.000,1.042,1.100,1.064,1.057,1.056,1.055
