Workload,BASE_,PRAC_ONLY_DELAY,PRAC_PAC_RP_nrh250,PRAC_PAC_RP_nrh500,PRAC_PAC_RP_nrh1000
GMEAN,1.000,1.099,1.033,1.018,1.010
cam4,1.000,1.084,1.030,1.015,1.010
mix1,1.000,1.148,1.044,1.024,1.013
mcf,1.000,1.031,1.011,1.013,1.006
add,1.000,1.005,1.004,1.003,1.002
mix4,1.000,1.157,1.050,1.026,1.014
mix6,1.000,1.126,1.034,1.018,1.010
xalancbmk,1.000,1.130,1.042,1.026,1.016
scale,1.000,1.010,1.005,1.004,1.003
omnetpp,1.000,1.176,1.054,1.029,1.015
lbm,1.000,1.121,1.042,1.023,1.014
mix2,1.000,1.142,1.044,1.025,1.016
cactuBSSN,1.000,1.158,1.058,1.027,1.010
mix3,1.000,1.137,1.040,1.024,1.012
fotonik3d,1.000,1.178,1.078,1.042,1.023
masstree,1.000,1.072,1.017,1.010,1.007
bwaves,1.000,1.089,1.024,1.015,1.008
triad,1.000,1.008,1.004,1.003,1.002
blender,1.000,1.092,1.034,1.015,1.008
mix5,1.000,1.119,1.037,1.016,1.012
roms,1.000,1.094,1.032,1.013,1.002
xz,1.000,1.179,1.059,1.033,1.017
parest,1.000,1.042,1.017,1.007,1.003
copy,1.000,1.006,1.005,1.004,1.003
