Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_df_0_1,PRAC_MOPAC_df_1_4,PRAC_MOPAC_df_1_2,PRAC_MOPAC_df_1_1,PRAC_MOPAC_df_2_1
GMEAN,1.000,1.103,1.077,1.066,1.056,1.038,1.009
cam4,1.000,1.084,1.033,1.026,1.022,1.012,1.008
mix1,1.000,1.176,1.088,1.077,1.068,1.048,1.010
mcf,1.000,1.031,1.086,1.075,1.063,1.049,1.008
add,1.000,1.005,1.060,1.049,1.037,1.016,1.000
mix4,1.000,1.168,1.089,1.078,1.066,1.049,1.009
mix6,1.000,1.152,1.083,1.073,1.063,1.041,1.003
xalancbmk,1.000,1.130,1.050,1.040,1.032,1.012,1.001
scale,1.000,1.010,1.058,1.046,1.035,1.012,1.000
omnetpp,1.000,1.176,1.112,1.104,1.093,1.071,1.034
lbm,1.000,1.121,1.095,1.086,1.075,1.058,1.023
mix2,1.000,1.150,1.095,1.085,1.074,1.056,1.018
cactuBSSN,1.000,1.158,1.110,1.085,1.088,1.076,1.018
mix3,1.000,1.138,1.088,1.078,1.067,1.049,1.010
fotonik3d,1.000,1.178,1.103,1.091,1.082,1.062,1.024
masstree,1.000,1.072,1.088,1.076,1.064,1.042,1.001
bwaves,1.000,1.089,1.072,1.062,1.052,1.031,0.998
triad,1.000,1.008,1.062,1.051,1.040,1.016,1.000
blender,1.000,1.092,1.024,1.017,1.011,1.002,1.000
mix5,1.000,1.162,1.087,1.074,1.066,1.045,1.009
roms,1.000,1.093,1.056,1.053,1.022,1.016,0.987
xz,1.000,1.179,1.108,1.100,1.087,1.069,1.032
parest,1.000,1.042,1.069,1.058,1.047,1.028,1.006
copy,1.000,1.006,1.059,1.048,1.036,1.013,1.000
