Workload,BASE_,PRAC_ONLY_DELAY,PRAC_MOPAC_df0_nrh250,PRAC_MOPAC_df1_nrh250,PRAC_MOPAC_df2_nrh250,PRAC_MOPAC_df4_nrh250
GMEAN,1.000,1.099,1.124,1.089,1.060,1.019
cam4,1.000,1.084,1.053,1.032,1.021,1.008
mix1,1.000,1.148,1.124,1.097,1.070,1.024
mcf,1.000,1.031,1.129,1.101,1.066,1.018
add,1.000,1.005,1.110,1.067,1.027,1.000
mix4,1.000,1.157,1.130,1.100,1.072,1.023
mix6,1.000,1.126,1.109,1.080,1.057,1.012
xalancbmk,1.000,1.130,1.083,1.050,1.021,1.002
scale,1.000,1.010,1.108,1.064,1.022,1.000
omnetpp,1.000,1.176,1.187,1.154,1.118,1.060
lbm,1.000,1.121,1.145,1.114,1.087,1.033
mix2,1.000,1.142,1.146,1.120,1.091,1.039
cactuBSSN,1.000,1.158,1.139,1.119,1.120,1.068
mix3,1.000,1.137,1.137,1.107,1.073,1.021
fotonik3d,1.000,1.178,1.144,1.114,1.081,1.025
masstree,1.000,1.072,1.169,1.119,1.075,1.004
bwaves,1.000,1.089,1.123,1.081,1.044,1.000
triad,1.000,1.008,1.117,1.071,1.029,1.000
blender,1.000,1.092,1.041,1.017,1.004,0.999
mix5,1.000,1.119,1.115,1.088,1.066,1.018
roms,1.000,1.094,1.105,1.053,1.030,0.993
xz,1.000,1.179,1.200,1.163,1.128,1.073
parest,1.000,1.042,1.139,1.092,1.057,1.031
copy,1.000,1.006,1.109,1.065,1.023,1.000
